Notes,County,County Code,ICD Chapter,ICD Chapter Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,Enterocolitis due to Clostridium difficile,A04.7,104,6069444,1.7135,1.38418,2.04283,0.0000341
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,Gastroenteritis and colitis of unspecified origin,A09.9,21,6069444,0.346,0.21418,0.52889,0.0000069
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,Septicaemia due to Staphylococcus aureus,A41.0,14,6069444,Unreliable,0.12611,0.38701,0.0000046
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,Septicaemia due to unspecified staphylococcus,A41.2,14,6069444,Unreliable,0.12611,0.38701,0.0000046
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,Septicaemia due to other Gram-negative organisms,A41.5,19,6069444,Unreliable,0.18847,0.48885,0.0000062
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,"Septicaemia, unspecified",A41.9,916,6069444,15.09199,14.11463,16.06935,0.0002999
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,"Staphylococcal infection, unspecified",A49.0,15,6069444,Unreliable,0.13832,0.40762,0.0000049
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,"Bacterial infection, unspecified",A49.9,30,6069444,0.49428,0.33349,0.70561,0.0000098
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,Creutzfeldt-Jakob disease - CJD,A81.0,13,6069444,Unreliable,0.11405,0.36627,0.0000043
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,Acute hepatitis C,B17.1,22,6069444,0.36247,0.22716,0.54879,0.0000072
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,Chronic viral hepatitis C,B18.2,71,6069444,1.16979,0.91362,1.47553,0.0000232
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in other bacterial infections,B20.1,19,6069444,Unreliable,0.18847,0.48885,0.0000062
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in other viral infections,B20.3,20,6069444,0.32952,0.20128,0.50892,0.0000065
