"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"Albany County, NY"	"36001"	"2013"	"2013"	"Jan., 2013"	"2013/01"	250	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.027%
	"Albany County, NY"	"36001"	"2013"	"2013"	"Feb., 2013"	"2013/02"	222	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.024%
	"Albany County, NY"	"36001"	"2013"	"2013"	"Mar., 2013"	"2013/03"	239	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.026%
	"Albany County, NY"	"36001"	"2013"	"2013"	"Apr., 2013"	"2013/04"	207	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.022%
	"Albany County, NY"	"36001"	"2013"	"2013"	"May, 2013"	"2013/05"	229	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.025%
	"Albany County, NY"	"36001"	"2013"	"2013"	"Jun., 2013"	"2013/06"	200	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.022%
	"Albany County, NY"	"36001"	"2013"	"2013"	"Jul., 2013"	"2013/07"	209	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.023%
	"Albany County, NY"	"36001"	"2013"	"2013"	"Aug., 2013"	"2013/08"	244	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.026%
	"Albany County, NY"	"36001"	"2013"	"2013"	"Sep., 2013"	"2013/09"	179	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.019%
	"Albany County, NY"	"36001"	"2013"	"2013"	"Oct., 2013"	"2013/10"	209	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.023%
	"Albany County, NY"	"36001"	"2013"	"2013"	"Nov., 2013"	"2013/11"	239	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.026%
	"Albany County, NY"	"36001"	"2013"	"2013"	"Dec., 2013"	"2013/12"	220	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.024%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Jan., 2014"	"2014/01"	232	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.025%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Feb., 2014"	"2014/02"	234	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.025%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Mar., 2014"	"2014/03"	216	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.023%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Apr., 2014"	"2014/04"	197	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.021%
	"Albany County, NY"	"36001"	"2014"	"2014"	"May, 2014"	"2014/05"	192	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.021%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Jun., 2014"	"2014/06"	224	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.024%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Jul., 2014"	"2014/07"	164	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.018%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Aug., 2014"	"2014/08"	178	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.019%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Sep., 2014"	"2014/09"	211	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.023%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Oct., 2014"	"2014/10"	229	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.025%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Nov., 2014"	"2014/11"	248	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.027%
	"Albany County, NY"	"36001"	"2014"	"2014"	"Dec., 2014"	"2014/12"	232	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.025%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Jan., 2015"	"2015/01"	281	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.030%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Feb., 2015"	"2015/02"	225	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.024%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Mar., 2015"	"2015/03"	230	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.025%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Apr., 2015"	"2015/04"	227	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.025%
	"Albany County, NY"	"36001"	"2015"	"2015"	"May, 2015"	"2015/05"	224	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.024%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Jun., 2015"	"2015/06"	214	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.023%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Jul., 2015"	"2015/07"	216	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.023%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Aug., 2015"	"2015/08"	222	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.024%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Sep., 2015"	"2015/09"	220	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.024%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Oct., 2015"	"2015/10"	236	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.026%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Nov., 2015"	"2015/11"	213	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.023%
	"Albany County, NY"	"36001"	"2015"	"2015"	"Dec., 2015"	"2015/12"	220	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.024%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Jan., 2016"	"2016/01"	255	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.028%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Feb., 2016"	"2016/02"	228	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.025%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Mar., 2016"	"2016/03"	251	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.027%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Apr., 2016"	"2016/04"	242	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.026%
	"Albany County, NY"	"36001"	"2016"	"2016"	"May, 2016"	"2016/05"	214	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.023%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Jun., 2016"	"2016/06"	201	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.022%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Jul., 2016"	"2016/07"	197	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.021%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Aug., 2016"	"2016/08"	217	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.024%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Sep., 2016"	"2016/09"	195	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.021%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Oct., 2016"	"2016/10"	208	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.023%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Nov., 2016"	"2016/11"	255	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.028%
	"Albany County, NY"	"36001"	"2016"	"2016"	"Dec., 2016"	"2016/12"	243	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.026%
	"Albany County, NY"	"36001"	"2017"	"2017"	"Jan., 2017"	"2017/01"	258	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.028%
	"Albany County, NY"	"36001"	"2017"	"2017"	"Feb., 2017"	"2017/02"	222	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.024%
