"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"2013"	"2013"	"Albany County, NY"	"36001"	2647	306945	862.369	829.517	895.222	689.059	662.069	716.049	0.287%
	"2013"	"2013"	"Allegany County, NY"	"36003"	470	48109	976.948	888.624	1065.272	767.161	696.298	838.024	0.051%
	"2013"	"2013"	"Bronx County, NY"	"36005"	9274	1418733	653.682	640.378	666.986	698.723	684.345	713.102	1.007%
	"2013"	"2013"	"Broome County, NY"	"36007"	2150	197534	1088.420	1042.412	1134.428	771.436	737.449	805.423	0.233%
	"2013"	"2013"	"Cattaraugus County, NY"	"36009"	814	78892	1031.790	960.908	1102.672	807.851	751.124	864.577	0.088%
	"2013"	"2013"	"Cayuga County, NY"	"36011"	706	79477	888.307	822.781	953.834	655.439	605.503	705.375	0.077%
	"2013"	"2013"	"Chautauqua County, NY"	"36013"	1474	133080	1107.604	1051.060	1164.149	785.987	744.562	827.411	0.160%
	"2013"	"2013"	"Chemung County, NY"	"36015"	873	88506	986.374	920.942	1051.806	727.809	678.385	777.233	0.095%
	"2013"	"2013"	"Chenango County, NY"	"36017"	552	49503	1115.084	1022.060	1208.108	802.754	733.656	871.853	0.060%
	"2013"	"2013"	"Clinton County, NY"	"36019"	706	81591	865.292	801.463	929.120	743.266	688.010	798.522	0.077%
	"2013"	"2013"	"Columbia County, NY"	"36021"	666	62243	1070.000	988.735	1151.265	713.130	657.012	769.248	0.072%
	"2013"	"2013"	"Cortland County, NY"	"36023"	435	48976	888.190	804.723	971.658	779.239	704.831	853.648	0.047%
	"2013"	"2013"	"Delaware County, NY"	"36025"	542	46722	1160.053	1062.389	1257.717	759.228	693.047	825.408	0.059%
	"2013"	"2013"	"Dutchess County, NY"	"36027"	2405	296916	809.993	777.621	842.366	673.246	645.855	700.636	0.261%
	"2013"	"2013"	"Erie County, NY"	"36029"	9729	919866	1057.654	1036.637	1078.671	784.681	768.641	800.721	1.056%
	"2013"	"2013"	"Essex County, NY"	"36031"	436	38762	1124.813	1019.230	1230.396	702.921	635.214	770.628	0.047%
