GEO_ID,NAME,B02001_001E,B02001_001M,B02001_002E,B02001_002M,,B02001_003E,B02001_003M,,B02001_004E,B02001_004M,,B02001_005E,B02001_005M,,B02001_006E,B02001_006M,,B02001_007E,B02001_007M,,B02001_008E,B02001_008M,,B02001_009E,B02001_009M,,B02001_010E,B02001_010M,
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Percent!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Percent!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Percent!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Percent!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Percent!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Percent!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Percent!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,Percent!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Percent!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
0500000US36095,"Schoharie County, New York",31364,*****,30007,72,95.67%,541,57,1.72%,49,30,0.16%,280,35,0.89%,13,19,0.04%,128,50,0.41%,346,77,1.10%,36,29,0.11%,310,75,0.99%
0500000US36067,"Onondaga County, New York",464242,*****,370976,824,79.91%,52888,896,11.39%,2389,242,0.51%,17130,466,3.69%,116,53,0.02%,4765,690,1.03%,15978,1066,3.44%,1329,294,0.29%,14649,1078,3.16%
0500000US36019,"Clinton County, New York",80794,*****,73391,178,90.84%,3475,137,4.30%,208,77,0.26%,1183,119,1.46%,26,21,0.03%,1474,191,1.82%,1037,199,1.28%,110,68,0.14%,927,185,1.15%
0500000US36099,"Seneca County, New York",34612,*****,31669,119,91.50%,1707,127,4.93%,135,51,0.39%,242,41,0.70%,0,25,0.00%,234,102,0.68%,625,139,1.81%,28,26,0.08%,597,131,1.72%
0500000US36079,"Putnam County, New York",99070,*****,86904,821,87.72%,2881,373,2.91%,205,122,0.21%,2019,144,2.04%,24,27,0.02%,4834,752,4.88%,2203,434,2.22%,434,169,0.44%,1769,399,1.79%
0500000US36033,"Franklin County, New York",50692,*****,41778,139,82.42%,2965,83,5.85%,3618,181,7.14%,255,60,0.50%,94,94,0.19%,1099,124,2.17%,883,191,1.74%,213,91,0.42%,670,157,1.32%
0500000US36069,"Ontario County, New York",109472,*****,101467,332,92.69%,2770,239,2.53%,487,229,0.44%,1455,178,1.33%,37,48,0.03%,1480,331,1.35%,1776,352,1.62%,331,191,0.30%,1445,270,1.32%
0500000US36081,"Queens County, New York",2298513,*****,896722,6835,39.01%,421038,3039,18.32%,9977,980,0.43%,580709,2446,25.26%,1100,293,0.05%,309236,7891,13.45%,79731,3228,3.47%,30729,1798,1.34%,49002,2307,2.13%
0500000US36101,"Steuben County, New York",96927,*****,92017,128,94.93%,1553,198,1.60%,102,49,0.11%,1484,87,1.53%,15,10,0.02%,374,120,0.39%,1382,199,1.43%,81,38,0.08%,1301,199,1.34%
