"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US36095","Schoharie County, New York","31364","*****","30392","*****","29308","8","472","39","49","30","271","33","0","25","1","3","291","72","5","8","286","71","972","*****","699","71","69","39","0","25","9","13","13","19","127","50","55","33","31","28","24","22"
"0500000US36067","Onondaga County, New York","464242","*****","441984","*****","357879","266","50528","820","2274","253","17080","461","105","50","810","313","13308","923","347","152","12961","964","22258","*****","13097","726","2360","430","115","72","50","30","11","17","3955","559","2670","403","982","237","1688","348"
"0500000US36019","Clinton County, New York","80794","*****","78484","*****","72705","95","3297","132","206","76","1183","119","26","21","203","126","864","183","4","8","860","183","2310","*****","686","135","178","65","2","4","0","28","0","28","1271","145","173","80","106","68","67","42"
"0500000US36099","Seneca County, New York","34612","*****","33454","*****","30873","7","1617","113","135","51","242","41","0","25","8","14","579","126","4","6","575","125","1158","*****","796","118","90","53","0","25","0","25","0","25","226","104","46","31","24","25","22","20"
"0500000US36079","Putnam County, New York","99070","*****","84875","*****","78745","83","2548","225","66","66","1995","145","24","27","241","126","1256","270","50","36","1206","268","14195","*****","8159","809","333","268","139","98","24","26","0","28","4593","757","947","300","384","165","563","240"
"0500000US36033","Franklin County, New York","50692","*****","48933","*****","41423","29","2915","74","3618","181","254","60","94","94","48","28","581","165","4","6","577","166","1759","*****","355","134","50","32","0","28","1","3","0","28","1051","117","302","86","209","91","93","89"
"0500000US36069","Ontario County, New York","109472","*****","104414","*****","98548","117","2503","215","224","93","1455","178","37","48","219","116","1428","306","129","120","1299","266","5058","*****","2919","317","267","107","263","191","0","28","0","28","1261","311","348","159","202","140","146","90"
"0500000US36081","Queens County, New York","2298513","*****","1654950","*****","581373","1059","396320","2152","5388","656","576353","2388","799","246","44832","2723","49885","2293","12186","1158","37699","1834","643563","*****","315349","6420","24718","1887","4589","760","4356","897","301","179","264404","7194","29846","1903","18543","1316","11303","1269"
"0500000US36101","Steuben County, New York","96927","*****","95356","*****","90861","42","1472","187","102","49","1484","87","12","11","117","57","1308","199","43","32","1265","197","1571","*****","1156","128","81","74","0","28","0","28","3","6","257","108","74","46","38","24","36","40"
"0500000US36041","Hamilton County, New York","4575","*****","4504","*****","4363","12","37","30","16","23","1","2","1","3","0","12","86","33","0","12","86","33","71","*****","57","16","0","12","0","12","0","12","0","12","14","13","0","12","0","12","0","12"
